hash, error, error category, repair description, vs docker extesion repair
---------------------------------------------------------------
483197474.log, COPY failed, misconfiguration, out of context, 
483197475.log, COPY failed, misconfiguration, out of context, 
483197476.log, COPY failed, misconfiguration, out of context, 
483356014.log, COPY failed, misconfiguration, out of context, 
483360208.log, COPY failed, misconfiguration, out of context, 
483362401.log, COPY failed, misconfiguration, out of context, 
483363390.log, COPY failed, misconfiguration, out of context, 
483623488.log, COPY failed, misconfiguration, out of context, 
483644458.log, COPY failed, misconfiguration, out of context, 
483647825.log, COPY failed, misconfiguration, out of context, 
483647826.log, COPY failed, misconfiguration, out of context, 
483699945.log, COPY failed, misconfiguration, out of context, 
483711433.log, COPY failed, misconfiguration, out of context, 
483733303.log, COPY failed, misconfiguration, out of context, 
483734433.log, COPY failed, misconfiguration, out of context, 
483779175.log, COPY failed, misconfiguration, out of context, 
483825752.log, COPY failed, misconfiguration, out of context, 
483827257.log, COPY failed, misconfiguration, out of context, 
483827278.log, COPY failed, misconfiguration, out of context, 
483828662.log, COPY failed, misconfiguration, out of context, 
483946213.log, COPY failed, misconfiguration, out of context, 
483956196.log, COPY failed, misconfiguration, out of context, 
484006753.log, COPY failed, misconfiguration, out of context, 
484042424.log, COPY failed, misconfiguration, out of context, 
484049497.log, COPY failed, misconfiguration, out of context, 
484065999.log, COPY failed, misconfiguration, out of context, 
484096400.log, COPY failed, misconfiguration, out of context, 
484096405.log, COPY failed, misconfiguration, out of context, 
484097305.log, COPY failed, misconfiguration, out of context, 
484097863.log, COPY failed, misconfiguration, out of context, 
483363398.log, ADD failed, misconfiguration, out of a context,
483524197.log, ADD failed, misconfiguration, out of a context,
483573177.log, ADD failed, misconfiguration, out of a context,
483647844.log, ADD failed, misconfiguration, out of a context,
483647847.log, ADD failed, misconfiguration, out of a context,
483647854.log, ADD failed, misconfiguration, out of a context,
483651778.log, ADD failed, misconfiguration, out of a context,
483651785.log, ADD failed, misconfiguration, out of a context,
483719834.log, ADD failed, misconfiguration, out of a context,
483733048.log, ADD failed, misconfiguration, out of a context,
483733089.log, ADD failed, misconfiguration, out of a context,
483733093.log, ADD failed, misconfiguration, out of a context,
483733116.log, ADD failed, misconfiguration, out of a context,
483733129.log, ADD failed, misconfiguration, out of a context,
483733134.log, ADD failed, misconfiguration, out of a context,
483733144.log, ADD failed, misconfiguration, out of a context,
483733185.log, ADD failed, misconfiguration, out of a context,
483733197.log, ADD failed, misconfiguration, out of a context,
483733211.log, ADD failed, misconfiguration, out of a context,
483733251.log, ADD failed, misconfiguration, out of a context,
483733258.log, ADD failed, misconfiguration, out of a context,
483733286.log, ADD failed, misconfiguration, out of a context,
483733293.log, ADD failed, misconfiguration, out of a context,
483733299.log, ADD failed, misconfiguration, out of a context,
483989985.log, ADD failed, misconfiguration, out of a context,
484011162.log, ADD failed, misconfiguration, out of a context,
484042001.log, ADD failed, misconfiguration, out of a context,
484042005.log, ADD failed, misconfiguration, out of a context,
484042009.log, ADD failed, misconfiguration, out of a context, 
484042013.log, ADD failed, misconfiguration, out of a context, 
484042017.log, ADD failed, misconfiguration, out of a context, 
484096584.log, ADD failed, misconfiguration, out of a context, 
484096592.log, ADD failed, misconfiguration, out of a context, 
484096628.log, ADD failed, misconfiguration, out of a context, 
484096632.log, ADD failed, misconfiguration, out of a context, 
